book_title,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Введение в язык Pascal. Учебное пособие,Абрамов Владимир Геннадьевич и др.,Кнорус:Среднее профессиональное образование,1041,1965,На складе,47
Ловушка для багов. Полевое руководство по веб-хакингу,Яворски Питер,Питер:Библиотека программиста,1558,1997,На складе,22
Программирование квантовых компьютеров. Базовые алгоритмы и примеры кода,Химено-Сеговиа Мерседес и др.,Питер:Бестселлеры O`Reilly,1572,2016,На складе,22
Разработка и реализац.портальн.решений: Практикум,"Лукьянов Павел Борисович, Маркова Светлана Владимировна",Прометей,534,1008,Ограничено,47
Транспортная логистика (линейное программирование). Учебное пособие,Пашков Николай Николаевич,Прометей,611,1152,На складе,47
Генетические алгоритмы на Python,Вирсански Эйял,ДМК-Пресс,1367,2580,На складе,47
C#. Основы программирования. Учебное пособие,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,1740,3283,На складе,47
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1039,1960,На складе,47
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,670,1264,Ограничено,47
Обработка естественного языка в действии,Хобсон Лейн и др.,Питер:Для профессионалов,2675,3429,На складе,22
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер:Для профессионалов,4054,5198,На складе,22
Эффективный TypeScript. 62 способа улучшить код,Вандеркам Дэн,Питер:Бестселлеры O`Reilly,1571,2014,На складе,22
Istio. Приступаем к работе,"Калькот Ли, Бутчер Зак",ДМК-Пресс,1367,2580,На складе,47
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям,Граймс Роджер А.,ДМК-Пресс,1230,2321,На складе,47
Проектирование веб-API,Лоре Арно,ДМК-Пресс,1367,2580,На складе,47
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1254,1718,На складе,27
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту,Крон Джон и др.,Питер:Библиотека программиста,1557,1996,На складе,22
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер:Для профессионалов,2466,3162,На складе,22
Spring Boot 2. Лучшие практики для профессионалов,Гутьеррес Фелипе,Питер:Библиотека программиста,2493,3196,На складе,22
